paper_id,title,authors,year,human_decision,ai_decision,confidence,rule_applied,agreement_level,processing_time,engine1_model,engine2_model,extracted_title,title_match,title_similarity,title_validation_status,criterion_1_lmic,criterion_2_cash,criterion_3_assets,criterion_4_design,criterion_5_year,criterion_6_completed,has_qualitative_data,has_cost_data,human_class,ai_class,agreement
121304162,,,,,EXCLUDE_CLEAR,Definite exclusion: 1 key criteria are NO: Productive assets. Paper does not meet inclusion requirements.,Rule 1: Key NO → EXCLUDE_CLEAR,AGREE,54.08873248100281,anthropic/claude-3.5-sonnet,openai/gpt-4o-2024-11-20,Evaluating the impact of LEAP on poverty reduction in Wa West District of Ghana,N/A,0.0,SKIPPED: No human title available,YES,YES,NO,YES,YES,YES,NO,NO,UNKNOWN,EXCLUDE,N/A
121296067,,,,,INCLUDE_LIKELY,"Known graduation program from curated list verified via Stage 1.5. Per policy, override to INCLUDE (conservative: INCLUDE_LIKELY).",Rule 0: Curated program match (Stage 1.5) → INCLUDE_LIKELY,AGREE,51.537049531936646,anthropic/claude-3.5-sonnet,openai/gpt-4o-2024-11-20,,N/A,0.0,SKIPPED: No human title available,UNCLEAR,UNCLEAR,UNCLEAR,UNCLEAR,UNCLEAR,UNCLEAR,YES,NO,UNKNOWN,INCLUDE,N/A
121358855,,,,,EXCLUDE_CLEAR,Definite exclusion: 1 key criteria are NO: Cash support. Paper does not meet inclusion requirements.,Rule 1: Key NO → EXCLUDE_CLEAR,CONFLICT,54.3542914390564,anthropic/claude-3.5-sonnet,openai/gpt-4o-2024-11-20,Effect of Integrated Sustainable Land Management technologies on household food security in Ethiopia,N/A,0.0,SKIPPED: No human title available,YES,NO,UNCLEAR,YES,YES,YES,NO,NO,UNKNOWN,EXCLUDE,N/A
121430615,,,,,CONFLICT,"DECISION CONFLICT: Engines reach different conclusions. Engine 1 (Engine1_Interpretation) → EXCLUDE, Engine 2 (Engine2_Interpretation) → INCLUDE. Requires human resolution to determine correct inclusion decision.",Rule C: Decision conflict → CONFLICT,CONFLICT,59.23253297805786,anthropic/claude-3.5-sonnet,openai/gpt-4o-2024-11-20,The effect of capital on the growth of female and male-owned enterprises in Ghana,N/A,0.0,SKIPPED: No human title available,UNCLEAR,UNCLEAR,UNCLEAR,UNCLEAR,UNCLEAR,UNCLEAR,NO,NO,UNKNOWN,MAYBE,N/A
121350426,,,,,EXCLUDE_CLEAR,Definite exclusion: 1 key criteria are NO: Productive assets. Paper does not meet inclusion requirements.,Rule 1: Key NO → EXCLUDE_CLEAR,AGREE,56.928699016571045,anthropic/claude-3.5-sonnet,openai/gpt-4o-2024-11-20,Effects of Ecuador's Bono de Desarrollo Humano (BDH) unconditional cash transfer program on child health and development,N/A,0.0,SKIPPED: No human title available,YES,YES,NO,YES,YES,YES,NO,YES,UNKNOWN,EXCLUDE,N/A
121295377,,,,,EXCLUDE_CLEAR,Definite exclusion: 1 key criteria are NO: Productive assets. Paper does not meet inclusion requirements.,Rule 1: Key NO → EXCLUDE_CLEAR,AGREE,49.183165550231934,anthropic/claude-3.5-sonnet,openai/gpt-4o-2024-11-20,Effect of productive safety net programme on household food consumption and dietary diversity in Ethiopia,N/A,0.0,SKIPPED: No human title available,YES,YES,NO,YES,YES,YES,NO,NO,UNKNOWN,EXCLUDE,N/A
121342253,,,,,EXCLUDE_CLEAR,Definite exclusion: 1 key criteria are NO: Productive assets. Paper does not meet inclusion requirements.,Rule 1: Key NO → EXCLUDE_CLEAR,AGREE,51.39660692214966,anthropic/claude-3.5-sonnet,openai/gpt-4o-2024-11-20,Effect of productive safety net programme on household food consumption and dietary diversity in Ethiopia,N/A,0.0,SKIPPED: No human title available,YES,YES,NO,YES,YES,YES,NO,NO,UNKNOWN,EXCLUDE,N/A
121295427,,,,,EXCLUDE_CLEAR,"Definite exclusion: 2 key criteria are NO: Cash support, Productive assets. Paper does not meet inclusion requirements.",Rule 1: Key NO → EXCLUDE_CLEAR,AGREE,49.02812671661377,anthropic/claude-3.5-sonnet,openai/gpt-4o-2024-11-20,Effect of productive safety net programme on household food consumption and dietary diversity in Ethiopia,N/A,0.0,SKIPPED: No human title available,YES,NO,NO,YES,YES,YES,NO,NO,UNKNOWN,EXCLUDE,N/A
121296065,,,,,EXCLUDE_CLEAR,Definite exclusion: 1 key criteria are NO: Productive assets. Paper does not meet inclusion requirements.,Rule 1: Key NO → EXCLUDE_CLEAR,AGREE,54.28662323951721,anthropic/claude-3.5-sonnet,openai/gpt-4o-2024-11-20,In search of the holy grail: can unconditional cash transfers graduate households,N/A,0.0,SKIPPED: No human title available,YES,YES,NO,YES,YES,YES,NO,YES,UNKNOWN,EXCLUDE,N/A
121336086,,,,,CONFLICT,"DECISION CONFLICT: Engines reach different conclusions. Engine 1 (Engine1_Interpretation) → EXCLUDE, Engine 2 (Engine2_Interpretation) → INCLUDE. Requires human resolution to determine correct inclusion decision.",Rule C: Decision conflict → CONFLICT,CONFLICT,54.90628719329834,anthropic/claude-3.5-sonnet,openai/gpt-4o-2024-11-20,Dynamics of poverty and impact of intervention programs in northern Ethiopia,N/A,0.0,SKIPPED: No human title available,UNCLEAR,UNCLEAR,UNCLEAR,UNCLEAR,UNCLEAR,UNCLEAR,NO,NO,UNKNOWN,MAYBE,N/A
121328355,,,,,EXCLUDE_CLEAR,"Definite exclusion: 3 key criteria are NO: Cash support, Productive assets, Study design. Paper does not meet inclusion requirements.",Rule 1: Key NO → EXCLUDE_CLEAR,AGREE,49.613460302352905,anthropic/claude-3.5-sonnet,openai/gpt-4o-2024-11-20,Fiscal Decentralization and Poverty Reduction in Nepal's Municipalities,N/A,0.0,SKIPPED: No human title available,YES,NO,NO,NO,YES,YES,NO,NO,UNKNOWN,EXCLUDE,N/A
