paper_id,title,authors,year,human_decision,ai_decision,confidence,rule_applied,agreement_level,processing_time,engine1_model,engine2_model,extracted_title,title_match,title_similarity,title_validation_status,criterion_1_lmic,criterion_2_cash,criterion_3_assets,criterion_4_design,criterion_5_year,criterion_6_completed,has_qualitative_data,has_cost_data,human_class,ai_class,agreement
121058370,Longitudinal Monitoring and Independent impact assessment of Chars Livelihoods Programme (CLP) - Final Evaluation Report - Volume 1,Jasper Paul; Nikitin Denis; Brockerhoff Stephanie; Jahan Ferdous; Resch Elisabeth; Ahsan Tahera; ,2016,INCLUDE - IE of grad programme,INCLUDE_LIKELY,"Known graduation program from curated list verified via Stage 1.5. Per policy, override to INCLUDE (conservative: INCLUDE_LIKELY).",Rule 0: Curated program match (Stage 1.5) → INCLUDE_LIKELY,CONFLICT,50.887794494628906,anthropic/claude-3.5-sonnet,openai/gpt-4o-2024-11-20,,NO_EXTRACTION,0.0,ERROR: No title extracted from full-text,UNCLEAR,UNCLEAR,UNCLEAR,UNCLEAR,UNCLEAR,UNCLEAR,YES,YES,INCLUDE,INCLUDE,True
121058359,How Far Does a Big Push Really Push? Long-Term Effects of an Asset Transfer Program on Employment Trajectories,Misha Farzana A; Raza Wameq; Ara Jinnat; Poel Ellen Van De; ,2019,INCLUDE - IE of grad programme,INCLUDE_CLEAR,"Clear inclusion: All 6 substantive criteria YES, engines in strong agreement (6/7 criteria agree). Paper clearly meets inclusion requirements.",Rule 2: All YES + AGREE → INCLUDE_CLEAR,AGREE,62.63599944114685,anthropic/claude-3.5-sonnet,openai/gpt-4o-2024-11-20,Long-term effects of BRAC's Challenging the Frontiers of Poverty Reduction program,NO,0.3854166666666667,MISMATCH (similarity: 0.39),YES,YES,YES,YES,YES,YES,YES,NO,INCLUDE,INCLUDE,True
121294975,Assessing the Impact of Social Grants on Household Welfare Using Propensity Score Matching Approach,Zwane Talent; Biyase Mduduzi; Rooderick September; ,2022,EXCLUDE - no graduation intervention,EXCLUDE_CLEAR,Definite exclusion: 1 key criteria are NO: Productive assets. Paper does not meet inclusion requirements.,Rule 1: Key NO → EXCLUDE_CLEAR,AGREE,53.38908267021179,anthropic/claude-3.5-sonnet,openai/gpt-4o-2024-11-20,The impact of social grants on rural household welfare in South Africa,PARTIAL,0.7100591715976331,MATCH_MEDIUM (similarity: 0.71),YES,YES,NO,YES,YES,YES,NO,NO,EXCLUDE,EXCLUDE,True
121378216,Impact evaluation report of Egypt’s Forsa Graduation Program,Allen IV; James; Gilligan Daniel O; Kurdi Sikandra; Shokry Nada; Yassa Basma; ,2023,INCLUDE - IE of grad programme,INCLUDE_LIKELY,"Known graduation program from curated list verified via Stage 1.5. Per policy, override to INCLUDE (conservative: INCLUDE_LIKELY).",Rule 0: Curated program match (Stage 1.5) → INCLUDE_LIKELY,AGREE,43.799381494522095,anthropic/claude-3.5-sonnet,openai/gpt-4o-2024-11-20,Messaging Experiment for Forsa Poverty Graduation Program,NO,0.5299145299145299,MISMATCH (similarity: 0.53),UNCLEAR,UNCLEAR,UNCLEAR,UNCLEAR,UNCLEAR,UNCLEAR,NO,NO,INCLUDE,INCLUDE,True
121058372,Labor Markets And Poverty In Village Economies,Bandiera Oriana; Burgess Robin; Das Narayan; Gulesci Selim; Rasul Imran; Sulaiman Munshi; ,2017,INCLUDE - IE of grad programme,CONFLICT,"DECISION CONFLICT: Engines reach different conclusions. Engine 1 (Engine1_Interpretation) → INCLUDE, Engine 2 (Engine2_Interpretation) → EXCLUDE. Requires human resolution to determine correct inclusion decision.",Rule C: Decision conflict → CONFLICT,CONFLICT,72.51469683647156,anthropic/claude-3.5-sonnet,openai/gpt-4o-2024-11-20,Labor Markets and Poverty in Village Economies,YES,1.0,MATCH_HIGH,UNCLEAR,UNCLEAR,UNCLEAR,UNCLEAR,UNCLEAR,UNCLEAR,YES,YES,INCLUDE,MAYBE,False
121295095,Tackling Psychosocial and Capital Constraints to Alleviate Poverty,Bossuroy Thomas; Goldstein Markus; Karimou Bassirou; Dean Karlan; Harounan Kazianga; William Parienté; Patrick Premand; Catherine C Thomas; Christopher Udry; Julia Vaillant; Kelsey A Wright; ,2022,INCLUDE - IE of grad programme,MAYBE_UNCERTAIN,"Partial inclusion: 5 YES, 2 UNCLEAR, 0 NO. Paper may meet requirements but has uncertainty. Needs human review.",Rule 5: YES + UNCLEAR + 0 NO → MAYBE_UNCERTAIN,CONFLICT,51.55896782875061,anthropic/claude-3.5-sonnet,openai/gpt-4o-2024-11-20,,NO_EXTRACTION,0.0,ERROR: No title extracted from full-text,UNCLEAR,YES,YES,YES,YES,YES,NO,NO,INCLUDE,MAYBE,False
121322794,Targeted intervention for the ultra poor in rural Bangladesh: does it make any difference in their health-seeking behaviour?,Ahmed S M; Petzold M; Kabir Z N; Tomson G; ,2006,INCLUDE - IE of grad programme,INCLUDE_LIKELY,"Known graduation program from curated list verified via Stage 1.5. Per policy, override to INCLUDE (conservative: INCLUDE_LIKELY).",Rule 0: Curated program match (Stage 1.5) → INCLUDE_LIKELY,CONFLICT,50.99242854118347,anthropic/claude-3.5-sonnet,openai/gpt-4o-2024-11-20,"Challenging the frontiers of poverty reduction: targeting the ultra poor, targeting social constraints (CFPR/TUP)",NO,0.2869198312236287,MISMATCH (similarity: 0.29),UNCLEAR,UNCLEAR,UNCLEAR,UNCLEAR,UNCLEAR,UNCLEAR,YES,NO,INCLUDE,INCLUDE,True
121301166,"Impact of urban productive safety net programme on poverty reduction and food security: evidence from major cities of eastern Ethiopia (Dire Dawa, Harar and Jigjiga)",Abdulahi Salah Mohammed; Feyisa; Habtamu Legese; Ayen; Dereje Deg; ,2024,EXCLUDE - no graduation intervention,EXCLUDE_CLEAR,Definite exclusion: 1 key criteria are NO: Productive assets. Paper does not meet inclusion requirements.,Rule 1: Key NO → EXCLUDE_CLEAR,AGREE,47.39444327354431,anthropic/claude-3.5-sonnet,openai/gpt-4o-2024-11-20,Different social protection programs are designed in low-income countries to eradicate poverty and improve the food security of poor people,NO,0.39473684210526316,MISMATCH (similarity: 0.39),YES,YES,NO,YES,YES,YES,NO,NO,EXCLUDE,EXCLUDE,True
121301666,Can smallholder extension transform African agriculture?,"Deutschmann Joshua W; Duru Maya Siegal, Kim, Tjernstrom, Emilia; ",2019,EXCLUDE - no graduation intervention,EXCLUDE_CLEAR,Definite exclusion: 1 key criteria are NO: Cash support. Paper does not meet inclusion requirements.,Rule 1: Key NO → EXCLUDE_CLEAR,CONFLICT,50.879814863204956,anthropic/claude-3.5-sonnet,openai/gpt-4o-2024-11-20,Agricultural productivity in Sub-Saharan Africa study,NO,0.1834862385321101,MISMATCH (similarity: 0.18),YES,NO,UNCLEAR,YES,YES,YES,NO,NO,EXCLUDE,EXCLUDE,True
121317800,An impact evaluation design for the Millennium Villages Project in Northern Ghana,"Masset E; Arnab Acharya Arnab Acharya, Barnett, C; Dogbe T; ",2013,EXCLUDE - no graduation intervention,EXCLUDE_CLEAR,"Definite exclusion: 2 key criteria are NO: Cash support, Productive assets. Paper does not meet inclusion requirements.",Rule 1: Key NO → EXCLUDE_CLEAR,AGREE,54.68162679672241,anthropic/claude-3.5-sonnet,openai/gpt-4o-2024-11-20,Design of an impact evaluation of the Millennium Villages Project in Northern Ghana,YES,0.8780487804878049,MATCH_HIGH,YES,NO,NO,YES,YES,NO,YES,YES,EXCLUDE,EXCLUDE,True
121314164,Coastal livelihood diversification as a pathway out of poverty and vulnerability: experiences from Tanzania,Torell E; McNally C; Crawford B; Majubwa G; ,2017,EXCLUDE - no graduation intervention,EXCLUDE_CLEAR,Definite exclusion: 1 key criteria are NO: Cash support. Paper does not meet inclusion requirements.,Rule 1: Key NO → EXCLUDE_CLEAR,AGREE,52.91144943237305,anthropic/claude-3.5-sonnet,openai/gpt-4o-2024-11-20,Livelihood diversification can increase the number of activities generating income and is often adopted as a means to reduce vulnerability to risk and provide a pathway out of poverty,NO,0.3724137931034483,MISMATCH (similarity: 0.37),YES,NO,YES,YES,YES,YES,YES,NO,EXCLUDE,EXCLUDE,True
121310903,Assessing the effects of an asset-building program in resource-constrained households: The case of Sub-Saharan Africa,Lombe Margaret Newransky; Chrisann; Safadi; Najwa S; ,2014,EXCLUDE - no graduation intervention,EXCLUDE_CLEAR,"Definite exclusion: 2 key criteria are NO: Cash support, Productive assets. Paper does not meet inclusion requirements.",Rule 1: Key NO → EXCLUDE_CLEAR,CONFLICT,46.69925618171692,anthropic/claude-3.5-sonnet,openai/gpt-4o-2024-11-20,Effects of an Asset-Building Program in Rural Ghana,NO,0.5714285714285714,MISMATCH (similarity: 0.57),YES,NO,NO,UNCLEAR,YES,YES,NO,NO,EXCLUDE,EXCLUDE,True
121317464,Reducing poverty by employing young women: Hathay Bunano's scalable model for rural production in Bangladesh (Innovations case narrative: Hathay Bunano),McKague K; Morshed S; Habibur Rahman Habibur Rahman; ,2013,EXCLUDE - no graduation intervention,EXCLUDE_CLEAR,"Definite exclusion: 2 key criteria are NO: Cash support, Productive assets. Paper does not meet inclusion requirements.",Rule 1: Key NO → EXCLUDE_CLEAR,PARTIAL,77.97826385498047,anthropic/claude-3.5-sonnet,openai/gpt-4o-2024-11-20,"ERROR: Expecting ',' delimiter: line 48 column 47 (char 1507)",NO,0.15023474178403756,MISMATCH (similarity: 0.15),YES,NO,NO,UNCLEAR,YES,NO,NO,NO,EXCLUDE,EXCLUDE,True
121316303,Effects of Pronaf on rural poverty in Brazil (2001-2009),Batista H R; Neder H D; Niederle P A; Fialho M A. V; Conterato M A; ,2014,EXCLUDE - no graduation intervention,EXCLUDE_CLEAR,"Definite exclusion: 2 key criteria are NO: Cash support, Productive assets. Paper does not meet inclusion requirements.",Rule 1: Key NO → EXCLUDE_CLEAR,AGREE,49.11427688598633,anthropic/claude-3.5-sonnet,openai/gpt-4o-2024-11-20,Análise dos efeitos do Programa Nacional de Fortalecimento da Agricultura Familiar (Pronaf) sobre a pobreza rural no Brasil,NO,0.3463687150837989,MISMATCH (similarity: 0.35),YES,NO,NO,YES,YES,YES,NO,NO,EXCLUDE,EXCLUDE,True
